"ASV","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"ASV33992","Bacteria","Verrucomicrobia","Verrucomicrobiae","Pedosphaerales","Pedosphaeraceae",,
"ASV33993","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae_UCG-010",
"ASV33994","Bacteria","Cyanobacteria","Melainabacteria","Vampirovibrionales",,,
"ASV33995","Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Coriobacteriaceae","Collinsella",
"ASV33996","Bacteria","Patescibacteria","ABY1","Candidatus_Magasanikbacteria",,,
"ASV33997","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae",,
"ASV33998","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",,
"ASV33999","Bacteria","Planctomycetes","Planctomycetacia","Gemmatales","Gemmataceae",,
"ASV34000","Bacteria","Proteobacteria","Alphaproteobacteria",,,,
"ASV34001","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae",,
"ASV34002","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae",,
"ASV34003","Bacteria","Firmicutes","BRH-c20a",,,,
"ASV34004","Bacteria","Lentisphaerae","Lentisphaeria","Victivallales","GWF2-44-16",,
"ASV34005","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotellaceae_NK3B31_group",
"ASV34006","Bacteria","Proteobacteria","Alphaproteobacteria",,,,
"ASV34007","Bacteria","Kiritimatiellaeota","Kiritimatiellae","WCHB1-41",,,
"ASV34008","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Paraprevotella",
"ASV34009","Bacteria","Proteobacteria","Alphaproteobacteria","Micavibrionales",,,
"ASV34010","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",,
"ASV34011","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Paludibacteraceae",,
"ASV34012","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Ika33",,
"ASV34013","Bacteria","Planctomycetes","Planctomycetacia","Gemmatales","Gemmataceae","Fimbriiglobus",
"ASV34014","Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bdellovibrionaceae","Bdellovibrio",
"ASV34015","Bacteria","Bacteroidetes","Bacteroidia","Sphingobacteriales","AKYH767",,
"ASV34016","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",,
